Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Comment[Animal Source]	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[Diet]	Comment[Feeding Schedule]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Protocol REF	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Duration]	Unit	Term Source REF	Term Accession Number	Factor Value[Euthanasia Location]	Term Source REF	Term Accession Number	Parameter Value[Light Cycle]	Protocol REF	Comment[LAR Animal Receipt Date at Scrippts]	Comment[Euthanasia Dates]	Comment[Dissection Dates]	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Carcass Preservation Method]	Unit	Term Source REF	Term Accession Number	Factor Value[Dissection Condition]	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
BL-ISS-12	RR8_LVR_BSL_ISS-T_YNG_BI12	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS			12 h light/dark cycle	Sample Collection	Not applicable	6-Dec-18	9-Dec-19 and 7-Jan-20 to 9-Jan-20	ketamine/xylazine orverdose and exsanguination/double thoracotomy			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Carcass			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-ISS-13	RR8_LVR_BSL_ISS-T_YNG_BI13	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS			12 h light/dark cycle	Sample Collection	Not applicable	6-Dec-18	9-Dec-19 and 7-Jan-20 to 9-Jan-20	ketamine/xylazine orverdose and exsanguination/double thoracotomy			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Carcass			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-ISS-14	RR8_LVR_BSL_ISS-T_YNG_BI14	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS			12 h light/dark cycle	Sample Collection	Not applicable	6-Dec-18	9-Dec-19 and 7-Jan-20 to 9-Jan-20	ketamine/xylazine orverdose and exsanguination/double thoracotomy			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Carcass			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-ISS-15	RR8_LVR_BSL_ISS-T_YNG_BI15	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS			12 h light/dark cycle	Sample Collection	Not applicable	6-Dec-18	9-Dec-19 and 7-Jan-20 to 9-Jan-20	ketamine/xylazine orverdose and exsanguination/double thoracotomy			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Carcass			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-ISS-16	RR8_LVR_BSL_ISS-T_YNG_BI16	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS			12 h light/dark cycle	Sample Collection	Not applicable	6-Dec-18	9-Dec-19 and 7-Jan-20 to 9-Jan-20	ketamine/xylazine orverdose and exsanguination/double thoracotomy			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Carcass			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-ISS-17	RR8_LVR_BSL_ISS-T_YNG_BI17	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS			12 h light/dark cycle	Sample Collection	Not applicable	6-Dec-18	9-Dec-19 and 7-Jan-20 to 9-Jan-20	ketamine/xylazine orverdose and exsanguination/double thoracotomy			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Carcass			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-ISS-18	RR8_LVR_BSL_ISS-T_YNG_BI18	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS			12 h light/dark cycle	Sample Collection	Not applicable	6-Dec-18	9-Dec-19 and 7-Jan-20 to 9-Jan-20	ketamine/xylazine orverdose and exsanguination/double thoracotomy			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Carcass			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-ISS-19	RR8_LVR_BSL_ISS-T_YNG_BI19	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS			12 h light/dark cycle	Sample Collection	Not applicable	6-Dec-18	9-Dec-19 and 7-Jan-20 to 9-Jan-20	ketamine/xylazine orverdose and exsanguination/double thoracotomy			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Carcass			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-ISS-20	RR8_LVR_BSL_ISS-T_YNG_BI20	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS			12 h light/dark cycle	Sample Collection	Not applicable	6-Dec-18	9-Dec-19 and 7-Jan-20 to 9-Jan-20	ketamine/xylazine orverdose and exsanguination/double thoracotomy			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Carcass			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-LAR-01	RR8_LVR_BSL_LAR_YNG_BL1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1 to 2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			12 h light/dark cycle	Sample Collection	Not applicable	5-Dec-18 to 6-Dec-18	5-Dec-18 to 6-Dec-18	isoflurane anesthesia and euthanized by exsanguination/double thoracotomy				Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Upon euthanasia			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-LAR-02	RR8_LVR_BSL_LAR_YNG_BL2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1 to 2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			12 h light/dark cycle	Sample Collection	Not applicable	5-Dec-18 to 6-Dec-18	5-Dec-18 to 6-Dec-18	isoflurane anesthesia and euthanized by exsanguination/double thoracotomy				Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Upon euthanasia			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-LAR-04	RR8_LVR_BSL_LAR_YNG_BL4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1 to 2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			12 h light/dark cycle	Sample Collection	Not applicable	5-Dec-18 to 6-Dec-18	5-Dec-18 to 6-Dec-18	isoflurane anesthesia and euthanized by exsanguination/double thoracotomy				Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Upon euthanasia			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-LAR-05	RR8_LVR_BSL_LAR_YNG_BL5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1 to 2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			12 h light/dark cycle	Sample Collection	Not applicable	5-Dec-18 to 6-Dec-18	5-Dec-18 to 6-Dec-18	isoflurane anesthesia and euthanized by exsanguination/double thoracotomy				Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Upon euthanasia			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
