Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Comment[Animal Source]	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[Diet]	Term Source REF	Term Accession Number	Comment[Feeding Schedule]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Enrichment material]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Duration]	Unit	Term Source REF	Term Accession Number	Factor Value[Euthanasia Location]	Term Source REF	Term Accession Number	Factor Value[Dissection Condition]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Carcass Preservation Method]	Unit	Term Source REF	Term Accession Number	Parameter Value[Carcass Weight]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[ALSDA Sample Name]	Comment[Launch Date]	Comment[Euthanasia Date]	Comment[Dissection Date]	Comment[ALSDA Source Name]	Comment[ALSDA Biospecimen Subject ID]	Comment[ALSDA Biospecimen ID]
LAR GC 6	Mmus_C57-6T_LVR_GC_LAR_Rep1_G6	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Ground Control			~30	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				32.4	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver GC-LAR 6	12-Dec-17	16-Jan-18	16-Jan-18	7B79	597	6089
LAR GC 4	Mmus_C57-6T_LVR_GC_LAR_Rep2_G4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Ground Control			~30	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				28.4	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver GC-LAR 4	12-Dec-17	16-Jan-18	16-Jan-18	1841	597	6089
LAR GC 10 	Mmus_C57-6T_LVR_GC_LAR_Rep3_G10	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Ground Control			~30	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				31.1	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver GC-LAR 10	12-Dec-17	16-Jan-18	16-Jan-18	21	597	6089
LAR GC 5	Mmus_C57-6T_LVR_GC_LAR_Rep4_G5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Ground Control			~30	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				35.6	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver GC-LAR 5	12-Dec-17	16-Jan-18	16-Jan-18	425C	597	6089
LAR GC 7	Mmus_C57-6T_LVR_GC_LAR_Rep5_G7	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Ground Control			~30	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				25.9	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver GC-LAR 7	12-Dec-17	16-Jan-18	16-Jan-18	0D1D	597	6089
LAR GC 8	Mmus_C57-6T_LVR_GC_LAR_Rep6_G8	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Ground Control			~30	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				26.2	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver GC-LAR 8	12-Dec-17	16-Jan-18	16-Jan-18	1E2C	597	6089
LAR GC 9 	Mmus_C57-6T_LVR_GC_LAR_Rep7_G9	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Ground Control			~30	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				23.4	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver GC-LAR 9	12-Dec-17	16-Jan-18	16-Jan-18	1022	597	6089
LAR GC 2	Mmus_C57-6T_LVR_GC_LAR_Rep8_G2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Ground Control			~30	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				31.8	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver GC-LAR 2	12-Dec-17	16-Jan-18	16-Jan-18	2A2A	597	6089
LAR GC 3	Mmus_C57-6T_LVR_GC_LAR_Rep9_G3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Ground Control			~30	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				25.9	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver GC-LAR 3	12-Dec-17	16-Jan-18	16-Jan-18	6602	597	6089
LAR Flight 1	Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	~30	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				34.4	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-LAR 1	15-Dec-17	17-Jan-18	17-Jan-18	472E	596	6058
LAR Flight 2	Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	~30	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				30.6	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-LAR 2	15-Dec-17	17-Jan-18	17-Jan-18	4770	596	6058
LAR Flight 3	Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Hut			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	~30	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				37	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver FLT-LAR 3	15-Dec-17	17-Jan-18	17-Jan-18	2919	596	6058
